cycle,timestamp_utc,t_phase1_s,t_phase1_prov_s,t_phase1_proc_s,t_phase2_s,t_phase2_prov_s,t_phase2_proc_s,t_phase3_s,t_phase3_prov_s,t_phase3_proc_s,t_total_provisioning_s,t_total_prov_s,t_total_proc_s,tunnel_convergence_s,vm_startup_s,tunnel1_up,tunnel2_up,tunnel3_up,tunnel4_up,active_tunnel_count,icmp_rtt_min_ms,icmp_rtt_avg_ms,icmp_rtt_max_ms,icmp_packet_loss_pct,icmp_success,tcp_az_to_aws_mbps,tcp_aws_to_az_mbps,tcp_retransmissions,udp_mbps,jitter_ms,udp_loss_pct,t_destroy_s,destroy_success,aws_state_resource_count,azure_state_resource_count,success,failure_phase,failure_type,failure_reason,cycle_duration_min,run_source,github_run_id
1,2026-06-19T07:58:21.865355+00:00,1358.0201637220002,1357.267377948,0.7527857740001309,619.9160201159993,618.1389728909999,1.7770472249994782,149.73484413200003,149.46118310899965,0.2736610230003862,2127.6710279699996,2124.8675339479996,2.8034940219999953,5.174455199000477,352.1720842550003,True,False,True,False,2,2.854,4.025,17.213,0.0,True,758.0,811.0,1248,99.9,0.088,0.0,732.7498085019997,True,16,16,True,,,,57.95604485923333,github_actions,27810707442
1,2026-06-19T20:33:25.244949+00:00,1470.4502019500005,1469.6420820449994,0.8081199050011492,344.16733745200054,342.3045720350001,1.8627654170004462,147.20207982600004,146.92374209300033,0.27833773299971654,1961.819619228001,1958.8703961729998,2.949223055001312,37.77990609400149,34.15580358899933,True,False,True,False,2,3.272,6.827,54.052,0.0,True,802.0,924.0,524,99.8,0.049,0.031,782.3637132100012,True,16,16,True,,,,51.26044515574999,github_actions,27843232013
